================================================================================
WORD                      GOLD       PREDICTED  STATUS    
.                         .          .          ✓         

The                       DT         DT         ✓         
nominees                  NNS        NNS        ✓         
are                       VBP        VBP        ✓         
Gary                      NNP        NNP        ✓         
Wilson                    NNP        NNP        ✓         
,                         ,          ,          ✓         
chief                     NN         JJ         ✗ NN->JJ  
financial                 JJ         JJ         ✓         
officer                   NN         NN         ✓         
of                        IN         IN         ✓         
Walt                      NNP        NNP        ✓         
Disney                    NNP        NNP        ✓         
Co.                       NNP        NNP        ✓         
;                         :          :          ✓         
James                     NNP        NNP        ✓         
Montgomery                NNP        NNP        ✓         
,                         ,          ,          ✓         
chief                     NN         JJ         ✗ NN->JJ  
executive                 NN         JJ         ✗ NN->JJ  
officer                   NN         NN         ✓         
of                        IN         IN         ✓         
Great                     NNP        NNP        ✓         
Western                   NNP        NNP        ✓         
Financial                 NNP        NNP        ✓         
Corp.                     NNP        NNP        ✓         
;                         :          :          ✓         
and                       CC         CC         ✓         
Peter                     NNP        NNP        ✓         
Ubberroth                 NNP        NNP        ✓         
,                         ,          ,          ✓         
former                    JJ         JJ         ✓         
commissioner              NN         NN         ✓         
of                        IN         IN         ✓         
baseball                  NN         NN         ✓         
and                       CC         CC         ✓         
now                       RB         RB         ✓         
a                         DT         DT         ✓         
private                   JJ         JJ         ✓         
investor                  NN         NN         ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
first                     JJ         JJ         ✓         
major                     JJ         JJ         ✓         
event                     NN         NN         ✓         
this                      DT         DT         ✓         
morning                   NN         NN         ✓         
in                        IN         IN         ✓         
U.S.                      NNP        NNP        ✓         
stock                     NN         NN         ✓         
and                       CC         CC         ✓         
futures                   NNS        NNS        ✓         
trading                   NN         NN         ✓         
may                       MD         MD         ✓         
be                        VB         VB         ✓         
a                         DT         DT         ✓         
pause                     NN         NN         ✓         
at                        IN         IN         ✓         
the                       DT         DT         ✓         
Chicago                   NNP        NNP        ✓         
Mercantile                NNP        NNP        ✓         
Exchange                  NNP        NNP        ✓         
.                         .          .          ✓         

Under                     IN         IN         ✓         
a                         DT         DT         ✓         
reform                    NN         NN         ✓         
arising                   VBG        VBG        ✓         
from                      IN         IN         ✓         
the                       DT         DT         ✓         
1987                      CD         CD         ✓         
crash                     NN         NN         ✓         
,                         ,          ,          ✓         
trading                   VBG        NN         ✗ VBG->NN 
in                        IN         IN         ✓         
the                       DT         DT         ✓         
Merc                      NNP        NNP        ✓         
's                        POS        POS        ✓         
stock-index               NN         JJ         ✗ NN->JJ  
futures                   NNS        NNS        ✓         
will                      MD         MD         ✓         
break                     VB         VB         ✓         
for                       IN         IN         ✓         
10                        CD         CD         ✓         
minutes                   NNS        NNS        ✓         
if                        IN         IN         ✓         
the                       DT         DT         ✓         
contract                  NN         NN         ✓         
opens                     VBZ        VBZ        ✓         
and                       CC         CC         ✓         
stays                     VBZ        VBZ        ✓         
five                      CD         CD         ✓         
points                    NNS        NNS        ✓         
from                      IN         IN         ✓         
Friday                    NNP        NNP        ✓         
's                        POS        POS        ✓         
close                     NN         NN         ✓         
,                         ,          ,          ✓         
a                         DT         DT         ✓         
move                      NN         NN         ✓         
equal                     JJ         JJ         ✓         
to                        TO         TO         ✓         
40                        CD         CD         ✓         
points                    NNS        NNS        ✓         
on                        IN         IN         ✓         
the                       DT         DT         ✓         
Dow                       NNP        NNP        ✓         
Jones                     NNP        NNP        ✓         
Industrial                NNP        NNP        ✓         
Average                   NNP        NNP        ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
aim                       NN         NN         ✓         
of                        IN         IN         ✓         
the                       DT         DT         ✓         
interruption              NN         NN         ✓         
would                     MD         MD         ✓         
be                        VB         VB         ✓         
to                        TO         TO         ✓         
ease                      VB         VB         ✓         
the                       DT         DT         ✓         
opening                   NN         NN         ✓         
of                        IN         IN         ✓         
the                       DT         DT         ✓         
New                       NNP        NNP        ✓         
York                      NNP        NNP        ✓         
Stock                     NNP        NNP        ✓         
Exchange                  NNP        NNP        ✓         
,                         ,          ,          ✓         
which                     WDT        WDT        ✓         
would                     MD         MD         ✓         
be                        VB         VB         ✓         
hammered                  VBN        VBN        ✓         
by                        IN         IN         ✓         
such                      PDT        PDT        ✓         
a                         DT         DT         ✓         
volatile                  JJ         JJ         ✓         
move                      NN         NN         ✓         
on                        IN         IN         ✓         
the                       DT         DT         ✓         
Merc                      NNP        NNP        ✓         
.                         .          .          ✓         

That                      DT         DT         ✓         
early-morning             NN         JJ         ✗ NN->JJ  
breather                  NN         NN         ✓         
is                        VBZ        VBZ        ✓         
just                      RB         RB         ✓         
one                       CD         CD         ✓         
of                        IN         IN         ✓         
a                         DT         DT         ✓         
number                    NN         NN         ✓         
of                        IN         IN         ✓         
safeguards                NNS        NNS        ✓         
adopted                   VBN        VBN        ✓         
after                     IN         IN         ✓         
the                       DT         DT         ✓         
1987                      CD         CD         ✓         
crash                     NN         NN         ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
Big                       NNP        NNP        ✓         
Board                     NNP        NNP        ✓         
also                      RB         RB         ✓         
added                     VBD        VBD        ✓         
computer                  NN         NN         ✓         
capacity                  NN         NN         ✓         
to                        TO         TO         ✓         
handle                    VB         VB         ✓         
huge                      JJ         JJ         ✓         
surges                    NNS        VBZ        ✗ NNS->VBZ
in                        IN         IN         ✓         
trading                   NN         NN         ✓         
volume                    NN         NN         ✓         
.                         .          .          ✓         

Several                   JJ         JJ         ✓         
of                        IN         IN         ✓         
those                     DT         DT         ✓         
post-crash                JJ         JJ         ✓         
changes                   NNS        NNS        ✓         
kicked                    VBD        VBD        ✓         
in                        RP         IN         ✗ RP->IN  
during                    IN         IN         ✓         
Friday                    NNP        NNP        ✓         
's                        POS        POS        ✓         
one-hour                  JJ         JJ         ✓         
collapse                  NN         NN         ✓         
and                       CC         CC         ✓         
worked                    VBD        VBD        ✓         
as                        IN         RB         ✗ IN->RB  
expected                  VBN        VBN        ✓         
,                         ,          ,          ✓         
even                      RB         RB         ✓         
though                    IN         IN         ✓         
they                      PRP        PRP        ✓         
did                       VBD        VBD        ✓         
n't                       RB         RB         ✓         
prevent                   VB         VB         ✓         
a                         DT         DT         ✓         
stunning                  JJ         JJ         ✓         
plunge                    NN         NN         ✓         
.                         .          .          ✓         

But                       CC         CC         ✓         
the                       DT         DT         ✓         
major                     JJ         JJ         ✓         
``                        ``         ``         ✓         
circuit                   NN         NN         ✓         
breakers                  NNS        NNS        ✓         
''                        ''         ''         ✓         
have                      VBP        VBP        ✓         
yet                       RB         RB         ✓         
to                        TO         TO         ✓         
be                        VB         VB         ✓         
evaluated                 VBN        VBN        ✓         
.                         .          .          ✓         

A                         DT         DT         ✓         
deeper                    JJR        JJR        ✓         
market                    NN         NN         ✓         
plunge                    NN         NN         ✓         
today                     NN         NN         ✓         
could                     MD         MD         ✓         
give                      VB         VB         ✓         
them                      PRP        PRP        ✓         
their                     PRP$       PRP$       ✓         
first                     JJ         JJ         ✓         
test                      NN         NN         ✓         
.                         .          .          ✓         

A                         DT         DT         ✓         
further                   JJ         JJ         ✓         
slide                     NN         NN         ✓         
also                      RB         RB         ✓         
would                     MD         MD         ✓         
resurrect                 VB         VB         ✓         
debate                    NN         NN         ✓         
over                      IN         IN         ✓         
a                         DT         DT         ✓         
host                      NN         NN         ✓         
of                        IN         IN         ✓         
other                     JJ         JJ         ✓         
,                         ,          ,          ✓         
more                      JJR        RBR        ✗ JJR->RBR
sweeping                  VBG        JJ         ✗ VBG->JJ 
changes                   NNS        NNS        ✓         
proposed                  VBN        VBN        ✓         
--                        :          :          ✓         
but                       CC         CC         ✓         
not                       RB         RB         ✓         
implemented               VBN        VBN        ✓         
--                        :          :          ✓         
after                     IN         IN         ✓         
the                       DT         DT         ✓         
last                      JJ         JJ         ✓         
crash                     NN         NN         ✓         
.                         .          .          ✓         

Most                      RBS        RBS        ✓         
notably                   RB         RB         ✓         
,                         ,          ,          ✓         
several                   JJ         JJ         ✓         
of                        IN         IN         ✓         
the                       DT         DT         ✓         
regulatory                JJ         JJ         ✓         
steps                     NNS        NNS        ✓         
recommended               VBN        VBN        ✓         
by                        IN         IN         ✓         
the                       DT         DT         ✓         
Brady                     NNP        NNP        ✓         
Task                      NNP        NNP        ✓         
Force                     NNP        NNP        ✓         
,                         ,          ,          ✓         
which                     WDT        WDT        ✓         
analyzed                  VBD        VBD        ✓         
the                       DT         DT         ✓         
1987                      CD         CD         ✓         
crash                     NN         NN         ✓         
,                         ,          ,          ✓         
would                     MD         MD         ✓         
be                        VB         VB         ✓         
revived                   VBN        VBN        ✓         
--                        :          :          ✓         
especially                RB         RB         ✓         
because                   IN         IN         ✓         
that                      DT         DT         ✓         
group                     NN         NN         ✓         
's                        POS        POS        ✓         
chairman                  NN         NN         ✓         
is                        VBZ        VBZ        ✓         
now                       RB         RB         ✓         
the                       DT         DT         ✓         
Treasury                  NN         NNP        ✗ NN->NNP 
secretary                 NN         NN         ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
most                      RBS        RBS        ✓         
controversial             JJ         JJ         ✓         
of                        IN         IN         ✓         
the                       DT         DT         ✓         
Brady                     NNP        NNP        ✓         
recommendations           NNS        NNS        ✓         
involved                  VBD        VBD        ✓         
establishing              VBG        VBG        ✓         
a                         DT         DT         ✓         
single                    JJ         JJ         ✓         
overarching               VBG        JJ         ✗ VBG->JJ 
regulator                 NN         NN         ✓         
to                        TO         TO         ✓         
handle                    VB         VB         ✓         
crucial                   JJ         JJ         ✓         
cross-market              JJ         JJ         ✓         
questions                 NNS        NNS        ✓         
,                         ,          ,          ✓         
such                      JJ         JJ         ✓         
as                        IN         IN         ✓         
setting                   VBG        VBG        ✓         
consistent                JJ         JJ         ✓         
margin                    NN         NN         ✓         
requirements              NNS        NNS        ✓         
for                       IN         IN         ✓         
the                       DT         DT         ✓         
stock                     NN         NN         ✓         
and                       CC         CC         ✓         
futures                   NNS        NNS        ✓         
markets                   NNS        NNS        ✓         
.                         .          .          ✓         

But                       CC         CC         ✓         
for                       IN         IN         ✓         
the                       DT         DT         ✓         
moment                    NN         NN         ✓         
,                         ,          ,          ✓         
attention                 NN         NN         ✓         
focuses                   VBZ        VBZ        ✓         
on                        IN         IN         ✓         
the                       DT         DT         ✓         
reforms                   NNS        NNS        ✓         
that                      WDT        WDT        ✓         
were                      VBD        VBD        ✓         
put                       VBN        VBN        ✓         
into                      IN         IN         ✓         
place                     NN         NN         ✓         
,                         ,          ,          ✓         
and                       CC         CC         ✓         
market                    NN         NN         ✓         
regulators                NNS        NNS        ✓         
and                       CC         CC         ✓         
participants              NNS        NNS        ✓         
said                      VBD        VBD        ✓         
the                       DT         DT         ✓         
circuit                   NN         NN         ✓         
breakers                  NNS        NNS        ✓         
worked                    VBD        VBD        ✓         
as                        RB         RB         ✓         
intended                  VBN        VBN        ✓         
.                         .          .          ✓         

Big                       NNP        NNP        ✓         
Board                     NNP        NNP        ✓         
and                       CC         CC         ✓         
Merc                      NNP        NNP        ✓         
officials                 NNS        NNS        ✓         
expressed                 VBD        VBD        ✓         
satisfaction              NN         NN         ✓         
with                      IN         IN         ✓         
the                       DT         DT         ✓         
results                   NNS        NNS        ✓         
of                        IN         IN         ✓         
two                       CD         CD         ✓         
limits                    NNS        NNS        ✓         
imposed                   VBN        VBN        ✓         
on                        IN         IN         ✓         
of                        IN         IN         ✓         
the                       DT         DT         ✓         
Merc                      NNP        NNP        ✓         
's                        POS        POS        ✓         
Standard                  NNP        NNP        ✓         
&                         CC         CC         ✓         
Poor                      NNP        NNP        ✓         
's                        POS        POS        ✓         
500                       CD         CD         ✓         
contract                  NN         NN         ✓         
,                         ,          ,          ✓         
as                        RB         RB         ✓         
well                      RB         RB         ✓         
as                        IN         IN         ✓         
``                        ``         ``         ✓         
hot-line                  NN         NN         ✓         
''                        ''         ''         ✓         
communications            NNS        NNS        ✓         
among                     IN         IN         ✓         
exchanges                 NNS        NNS        ✓         
.                         .          .          ✓         

Those                     DT         DT         ✓         
pauses                    NNS        VBZ        ✗ NNS->VBZ
--                        :          :          ✓         
from                      IN         IN         ✓         
2:07                      CD         CD         ✓         
p.m.                      NN         NN         ✓         
to                        TO         TO         ✓         
2:30                      CD         CD         ✓         
p.m.                      NN         NN         ✓         
CDT                       NNP        NN         ✗ NNP->NN 
and                       CC         CC         ✓         
from                      IN         IN         ✓         
2:45                      CD         CD         ✓         
p.m.                      NN         NN         ✓         
until                     IN         IN         ✓         
the                       DT         DT         ✓         
close                     NN         NN         ✓         
of                        IN         IN         ✓         
trading                   NN         NN         ✓         
a                         DT         DT         ✓         
half-hour                 NN         NN         ✓         
later                     RB         RB         ✓         
--                        :          :          ✓         
forced                    VBD        VBN        ✗ VBD->VBN
traders                   NNS        NNS        ✓         
to                        TO         TO         ✓         
buy                       VB         VB         ✓         
and                       CC         CC         ✓         
sell                      VB         VB         ✓         
contracts                 NNS        NNS        ✓         
at                        IN         IN         ✓         
prices                    NNS        NNS        ✓         
at                        IN         IN         ✓         
or                        CC         CC         ✓         
higher                    JJR        JJR        ✓         
than                      IN         IN         ✓         
their                     PRP$       PRP$       ✓         
frozen                    VBN        JJ         ✗ VBN->JJ 
levels                    NNS        NNS        ✓         
.                         .          .          ✓         

During                    IN         IN         ✓         
the                       DT         DT         ✓         
first                     JJ         JJ         ✓         
halt                      NN         NN         ✓         
,                         ,          ,          ✓         
after                     IN         IN         ✓         
the                       DT         DT         ✓         
S&P                       NNP        NNP        ✓         
index                     NN         NN         ✓         
had                       VBD        VBD        ✓         
fallen                    VBN        VBN        ✓         
12                        CD         CD         ✓         
points                    NNS        NNS        ✓         
,                         ,          ,          ✓         
the                       DT         DT         ✓         
Big                       NNP        NNP        ✓         
Board                     NNP        NNP        ✓         
's                        POS        POS        ✓         
``                        ``         ``         ✓         
Sidecar                   NN         NNP        ✗ NN->NNP 
''                        ''         ''         ✓         
computer                  NN         NN         ✓         
program                   NN         NN         ✓         
automatically             RB         RB         ✓         
was                       VBD        VBD        ✓         
triggered                 VBN        VBN        ✓         
.                         .          .          ✓         

That                      DT         DT         ✓         
system                    NN         NN         ✓         
is                        VBZ        VBZ        ✓         
designed                  VBN        VBN        ✓         
to                        TO         TO         ✓         
separate                  VB         JJ         ✗ VB->JJ  
computer-generated        JJ         JJ         ✓         
program                   NN         NN         ✓         
trades                    NNS        NNS        ✓         
from                      IN         IN         ✓         
all                       DT         DT         ✓         
other                     JJ         JJ         ✓         
trades                    NNS        NNS        ✓         
to                        TO         TO         ✓         
help                      VB         VB         ✓         
exchange                  NN         NN         ✓         
officials                 NNS        NNS        ✓         
resolve                   VB         VB         ✓         
order                     NN         NN         ✓         
imbalances                NNS        NNS        ✓         
in                        IN         IN         ✓         
individual                JJ         JJ         ✓         
stocks                    NNS        NNS        ✓         
.                         .          .          ✓         

One                       CD         CD         ✓         
Merc                      NNP        NNP        ✓         
broker                    NN         NN         ✓         
compared                  VBD        VBN        ✗ VBD->VBN
the                       DT         DT         ✓         
action                    NN         NN         ✓         
in                        IN         IN         ✓         
the                       DT         DT         ✓         
S&P                       NNP        NNP        ✓         
pit                       NN         NN         ✓         
during                    IN         IN         ✓         
the                       DT         DT         ✓         
two                       CD         CD         ✓         
freezes                   NNS        VBZ        ✗ NNS->VBZ
to                        TO         TO         ✓         
a                         DT         DT         ✓         
fire                      NN         NN         ✓         
at                        IN         IN         ✓         
a                         DT         DT         ✓         
well-drilled              JJ         JJ         ✓         
school                    NN         NN         ✓         
.                         .          .          ✓         

``                        ``         ``         ✓         
You                       PRP        PRP        ✓         
do                        VBP        VBP        ✓         
n't                       RB         RB         ✓         
want                      VB         VB         ✓         
the                       DT         DT         ✓         
fire                      NN         NN         ✓         
but                       CC         CC         ✓         
you                       PRP        PRP        ✓         
know                      VBP        VBP        ✓         
what                      WP         WP         ✓         
to                        TO         TO         ✓         
do                        VB         VB         ✓         
,                         ,          ,          ✓         
''                        ''         ''         ✓         
said                      VBD        VBD        ✓         
Howard                    NNP        NNP        ✓         
Dubnow                    NNP        NNP        ✓         
,                         ,          ,          ✓         
an                        DT         DT         ✓         
independent               JJ         JJ         ✓         
floor                     NN         NN         ✓         
broker                    NN         NN         ✓         
and                       CC         CC         ✓         
a                         DT         DT         ✓         
Merc                      NNP        NNP        ✓         
governor                  NN         NN         ✓         
.                         .          .          ✓         

``                        ``         ``         ✓         
There                     EX         EX         ✓         
was                       VBD        VBD        ✓         
no                        DT         DT         ✓         
panic                     NN         NN         ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
system                    NN         NN         ✓         
worked                    VBD        VBD        ✓         
the                       DT         DT         ✓         
way                       NN         NN         ✓         
we                        PRP        PRP        ✓         
devised                   VBD        VBD        ✓         
it                        PRP        PRP        ✓         
to                        TO         TO         ✓         
work                      VB         VB         ✓         
.                         .          .          ✓         
''                        ''         ''         ✓         

After                     IN         IN         ✓         
reopening                 VBG        VBG        ✓         
for                       IN         IN         ✓         
about                     IN         IN         ✓         
15                        CD         CD         ✓         
minutes                   NNS        NNS        ✓         
,                         ,          ,          ✓         
the                       DT         DT         ✓         
S&P                       NNP        NNP        ✓         
index                     NN         NN         ✓         
tumbled                   VBD        VBD        ✓         
to                        TO         TO         ✓         
its                       PRP$       PRP$       ✓         
30-point                  JJ         JJ         ✓         
limit                     NN         NN         ✓         
and                       CC         CC         ✓         
the                       DT         DT         ✓         
second                    JJ         JJ         ✓         
freeze                    NN         NN         ✓         
went                      VBD        VBD        ✓         
into                      IN         IN         ✓         
effect                    NN         NN         ✓         
.                         .          .          ✓         

Traders                   NNS        NNS        ✓         
then                      RB         RB         ✓         
spent                     VBD        VBD        ✓         
the                       DT         DT         ✓         
last                      JJ         JJ         ✓         
half-hour                 NN         NN         ✓         
``                        ``         ``         ✓         
watching                  VBG        VBG        ✓         
to                        TO         TO         ✓         
see                       VB         VB         ✓         
if                        IN         IN         ✓         
the                       DT         DT         ✓         
Dow                       NNP        NNP        ✓         
would                     MD         MD         ✓         
drop                      VB         VB         ✓         
250                       CD         CD         ✓         
points                    NNS        NNS        ✓         
,                         ,          ,          ✓         
''                        ''         ''         ✓         
Mr.                       NNP        NNP        ✓         
Dubnow                    NNP        NNP        ✓         
added                     VBD        VBD        ✓         
,                         ,          ,          ✓         
referring                 VBG        VBG        ✓         
to                        TO         TO         ✓         
the                       DT         DT         ✓         
level                     NN         NN         ✓         
at                        IN         IN         ✓         
which                     WDT        WDT        ✓         
the                       DT         DT         ✓         
stock                     NN         NN         ✓         
market                    NN         NN         ✓         
itself                    PRP        PRP        ✓         
would                     MD         MD         ✓         
have                      VB         VB         ✓         
closed                    VBN        VBN        ✓         
for                       IN         IN         ✓         
an                        DT         DT         ✓         
hour                      NN         NN         ✓         
.                         .          .          ✓         

One                       CD         CD         ✓         
observer                  NN         NN         ✓         
estimated                 VBD        VBN        ✗ VBD->VBN
that                      IN         IN         ✓         
80                        CD         CD         ✓         
%                         NN         NN         ✓         
to                        TO         TO         ✓         
90                        CD         CD         ✓         
%                         NN         NN         ✓         
of                        IN         IN         ✓         
the                       DT         DT         ✓         
S&P                       NNP        NNP        ✓         
traders                   NNS        NNS        ✓         
``                        ``         ``         ✓         
were                      VBD        VBD        ✓         
just                      RB         RB         ✓         
standing                  VBG        VBG        ✓         
around                    IN         IN         ✓         
watching                  VBG        VBG        ✓         
.                         .          .          ✓         
''                        ''         ''         ✓         

But                       CC         CC         ✓         
the                       DT         DT         ✓         
250-point                 JJ         JJ         ✓         
circuit                   NN         NN         ✓         
breaker                   NN         NN         ✓         
never                     RB         RB         ✓         
had                       VBD        VBD        ✓         
to                        TO         TO         ✓         
kick                      VB         VB         ✓         
in                        IN         IN         ✓         
,                         ,          ,          ✓         
and                       CC         CC         ✓         
freezes                   VBZ        VBZ        ✓         
on                        IN         IN         ✓         
the                       DT         DT         ✓         
Chicago                   NNP        NNP        ✓         
Board                     NNP        NNP        ✓         
of                        IN         IN         ✓         
Trade                     NNP        NNP        ✓         
's                        POS        POS        ✓         
Major                     NNP        NNP        ✓         
Market                    NNP        NNP        ✓         
Index                     NNP        NNP        ✓         
also                      RB         RB         ✓         
were                      VBD        VBD        ✓         
n't                       RB         RB         ✓         
triggered                 VBN        VBN        ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
MMI                       NNP        NNP        ✓         
and                       CC         CC         ✓         
the                       DT         DT         ✓         
S&P                       NNP        NNP        ✓         
500                       CD         CD         ✓         
are                       VBP        VBP        ✓         
the                       DT         DT         ✓         
two                       CD         CD         ✓         
major                     JJ         JJ         ✓         
indexes                   NNS        NNS        ✓         
used                      VBN        VBN        ✓         
by                        IN         IN         ✓         
program                   NN         NN         ✓         
traders                   NNS        NNS        ✓         
to                        TO         TO         ✓         
run                       VB         VB         ✓         
their                     PRP$       PRP$       ✓         
computerized              VBN        JJ         ✗ VBN->JJ 
trading                   NN         NN         ✓         
strategies                NNS        NNS        ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
programs                  NNS        NNS        ✓         
are                       VBP        VBP        ✓         
considered                VBN        VBN        ✓         
by                        IN         IN         ✓         
many                      JJ         JJ         ✓         
to                        TO         TO         ✓         
be                        VB         VB         ✓         
a                         DT         DT         ✓         
major                     JJ         JJ         ✓         
cause                     NN         NN         ✓         
of                        IN         IN         ✓         
the                       DT         DT         ✓         
1987                      CD         CD         ✓         
crash                     NN         NN         ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
process                   NN         NN         ✓         
of                        IN         IN         ✓         
post-crash                JJ         JJ         ✓         
reforms                   NNS        NNS        ✓         
began                     VBD        VBD        ✓         
with                      IN         IN         ✓         
calls                     NNS        NNS        ✓         
to                        TO         TO         ✓         
remake                    VB         VB         ✓         
the                       DT         DT         ✓         
markets                   NNS        NNS        ✓         
and                       CC         CC         ✓         
wound                     VBD        VBD        ✓         
up                        RP         RP         ✓         
a                         DT         DT         ✓         
year                      NN         NN         ✓         
later                     RB         RB         ✓         
with                      IN         IN         ✓         
a                         DT         DT         ✓         
series                    NN         NN         ✓         
of                        IN         IN         ✓         
rather                    RB         RB         ✓         
technical                 JJ         JJ         ✓         
adjustments               NNS        NNS        ✓         
.                         .          .          ✓         

In                        IN         IN         ✓         
October                   NNP        NNP        ✓         
1987                      CD         CD         ✓         
,                         ,          ,          ✓         
just                      RB         RB         ✓         
after                     IN         IN         ✓         
the                       DT         DT         ✓         
market                    NN         NN         ✓         
drop                      NN         NN         ✓         
,                         ,          ,          ✓         
Washington                NNP        NNP        ✓         
was                       VBD        VBD        ✓         
awash                     JJ         NN         ✗ JJ->NN  
in                        IN         IN         ✓         
talk                      NN         NN         ✓         
of                        IN         IN         ✓         
sweeping                  VBG        JJ         ✗ VBG->JJ 
